QXsoll QYsoll TURNS EMITX   EMITY   <T>
AllCold thin 0  4.774005e-06  2.080009e-06  0.000000e+00
AllCold thin 1000  4.757027e-06  2.096743e-06  -2.839935e+00
AllCold thin 2000  4.715599e-06  2.138264e-06  -5.679869e+00
AllCold thin 3000  4.651146e-06  2.203058e-06  -8.519804e+00
AllCold thin 4000  4.565984e-06  2.288625e-06  -1.135974e+01
AllCold thin 5000  4.463452e-06  2.391512e-06  -1.419967e+01
AllCold thin 6000  4.347694e-06  2.507486e-06  -1.703961e+01
AllCold thin 7000  4.223177e-06  2.631888e-06  -1.987954e+01
AllCold thin 8000  4.094356e-06  2.760124e-06  -2.271948e+01
AllCold thin 9000  3.965560e-06  2.888042e-06  -2.555941e+01
AllCold thin 10000  3.840901e-06  3.012024e-06  -2.839935e+01
AllCold thin 11000  3.724102e-06  3.128822e-06  -3.123928e+01
AllCold thin 12000  3.618165e-06  3.235396e-06  -3.407921e+01
AllCold thin 13000  3.525142e-06  3.329054e-06  -3.691915e+01
AllCold thin 14000  3.446152e-06  3.407864e-06  -3.975908e+01
AllCold thin 15000  3.381710e-06  3.471036e-06  -4.259902e+01
AllCold thin 16000  3.332116e-06  3.518895e-06  -4.543895e+01
AllCold thin 17000  3.297437e-06  3.552503e-06  -4.827889e+01
AllCold thin 18000  3.276976e-06  3.573290e-06  -5.111882e+01
AllCold thin 19000  3.268748e-06  3.582971e-06  -5.395876e+01
AllCold thin 20000  3.269754e-06  3.583538e-06  -5.679869e+01
