ERROR_SET	QXsoll	QYsoll	Q1	Q2	PARTICLES_LEFT
1	55	55	18.5524052	18.5476188	810
1	55	56	18.55000052	18.55999949	990
1	55	57	18.54999997	18.57000003	1000
1	55	58	18.55000091	18.57999965	1000
1	55	59	18.55000032	18.59000006	1000
1	55	60	18.55000012	18.60000014	1000
1	55	61	18.55000004	18.61000015	1000
1	55	62	18.55	18.62000014	1000
1	55	63	18.54999998	18.63000012	1000
1	55	64	18.54999998	18.64000011	1000
1	55	65	18.54999997	18.65000009	996
1	55	66	18.54999998	18.66000008	987
1	55	67	18.54999998	18.67000007	998
1	55	68	18.54999999	18.68000006	996
1	55	69	18.54999999	18.69000005	998
1	55	70	18.55	18.70000004	999
1	55	71	18.55000001	18.71000004	984
1	55	72	18.55000001	18.72000003	1000
1	55	73	18.55000002	18.73000003	1000
1	55	74	18.55000003	18.74000002	992
1	55	75	18.55000003	18.75000002	999
1	55	76	18.55000004	18.76000001	999
1	55	77	18.55000005	18.77000001	999
1	55	78	18.55000005	18.78	997
1	55	79	18.55000006	18.79	1000
1	55	80	18.55000007	18.79999999	1000
1	55	81	18.55000007	18.80999999	1000
1	55	82	18.55000008	18.81999999	1000
1	55	83	18.55000009	18.82999998	1000
1	55	84	18.55000009	18.83999998	996
1	55	85	18.5500001	18.84999997	998
1	55	86	18.5500001	18.85999997	998
1	55	87	18.55000011	18.86999996	997
1	55	88	18.55000011	18.87999995	999
1	55	89	18.55000011	18.88999993	1000
1	55	90	18.55000012	18.89999991	991
1	55	91	18.55000012	18.90999988	999
1	55	92	18.55000012	18.91999981	995
1	55	93	18.55000013	18.92999968	973
1	55	94	18.55000013	18.93999941	981
1	55	95	18.55	18.95	909
1	56	55	18.56000004	18.54999996	995
1	56	56	18.56241062	18.55760415	826
1	56	57	18.56000052	18.56999948	992
1	56	58	18.55999997	18.58000003	1000
1	56	59	18.56	18.59	1000
1	56	60	18.56000037	18.59999993	1000
1	56	61	18.56000017	18.61000006	1000
1	56	62	18.56000008	18.62000009	1000
1	56	63	18.56000004	18.63000009	1000
1	56	64	18.56000002	18.64000009	1000
1	56	65	18.56000001	18.65000008	998
1	56	66	18.56	18.66000007	978
1	56	67	18.56	18.67000006	998
1	56	68	18.56	18.68000006	996
1	56	69	18.56	18.69000005	999
1	56	70	18.56	18.70000004	999
1	56	71	18.56000001	18.71000003	997
1	56	72	18.56000001	18.72000003	940
1	56	73	18.56000001	18.73000002	998
1	56	74	18.56000002	18.74000002	1000
1	56	75	18.56000002	18.75000001	1000
1	56	76	18.56000003	18.76000001	1000
1	56	77	18.56000003	18.77000001	998
1	56	78	18.56000004	18.78	989
1	56	79	18.56000004	18.79	1000
1	56	80	18.56000004	18.79999999	1000
1	56	81	18.56000005	18.80999999	1000
1	56	82	18.56000005	18.81999999	999
1	56	83	18.56000006	18.82999998	996
1	56	84	18.56000006	18.83999998	990
1	56	85	18.56000006	18.84999997	995
1	56	86	18.56000007	18.85999997	998
1	56	87	18.56000007	18.86999996	999
1	56	88	18.56000007	18.87999995	995
1	56	89	18.56000007	18.88999994	999
1	56	90	18.56000008	18.89999991	998
1	56	91	18.56000008	18.90999988	994
1	56	92	18.56000008	18.91999981	997
1	56	93	18.56000009	18.92999968	996
1	56	94	18.56000009	18.9399994	978
1	56	95	18.56	18.95	943
1	57	55	18.57	18.55	1000
1	57	56	18.57000003	18.55999997	996
1	57	57	18.57241554	18.56759422	831
1	57	58	18.57000053	18.57999948	995
1	57	59	18.56999997	18.59000003	1000
1	57	60	18.57	18.6	1000
1	57	61	18.5700004	18.60999984	1000
1	57	62	18.57000019	18.62	1000
1	57	63	18.5700001	18.63000005	1000
1	57	64	18.57000006	18.64000006	1000
1	57	65	18.57000003	18.65000006	1000
1	57	66	18.57000002	18.66000006	988
1	57	67	18.57000001	18.67000006	997
1	57	68	18.57000001	18.68000005	996
1	57	69	18.57000001	18.69000004	997
1	57	70	18.57000001	18.70000004	984
1	57	71	18.57000001	18.71000003	1000
1	57	72	18.57000001	18.72000003	1000
1	57	73	18.57000001	18.73000002	991
1	57	74	18.57000002	18.74000002	999
1	57	75	18.57000002	18.75000001	999
1	57	76	18.57000002	18.76000001	1000
1	57	77	18.57000002	18.77000001	1000
1	57	78	18.57000003	18.78	999
1	57	79	18.57000003	18.79	998
1	57	80	18.57000003	18.79999999	996
1	57	81	18.57000003	18.80999999	991
1	57	82	18.57000004	18.81999999	999
1	57	83	18.57000004	18.82999998	996
1	57	84	18.57000004	18.83999998	1000
1	57	85	18.57000005	18.84999997	999
1	57	86	18.57000005	18.85999997	913
1	57	87	18.57000005	18.86999996	999
1	57	88	18.57000005	18.87999995	1000
1	57	89	18.57000005	18.88999994	995
1	57	90	18.57000006	18.89999991	999
1	57	91	18.57000006	18.90999988	995
1	57	92	18.57000006	18.91999981	999
1	57	93	18.57000007	18.92999968	998
1	57	94	18.57000007	18.93999939	992
1	57	95	18.57	18.95	955
1	58	55	18.58	18.55000001	1000
1	58	56	18.58000098	18.56000019	1000
1	58	57	18.58000065	18.56999934	997
1	58	58	18.58241964	18.57758717	835
1	58	59	18.58000053	18.58999947	994
1	58	60	18.57999996	18.60000003	1000
1	58	61	18.58	18.61	1000
1	58	62	18.58000041	18.61999978	1000
1	58	63	18.5800002	18.62999995	1000
1	58	64	18.58000011	18.64000001	1000
1	58	65	18.58000007	18.65000004	999
1	58	66	18.58000004	18.66000004	988
1	58	67	18.58000003	18.67000004	997
1	58	68	18.58000002	18.68000004	992
1	58	69	18.58000002	18.69000004	999
1	58	70	18.58000001	18.70000003	996
1	58	71	18.58000001	18.71000003	936
1	58	72	18.58000001	18.72000003	997
1	58	73	18.58000001	18.73000002	1000
1	58	74	18.58000001	18.74000002	999
1	58	75	18.58000002	18.75000001	1000
1	58	76	18.58000002	18.76000001	1000
1	58	77	18.58000002	18.77000001	1000
1	58	78	18.58000002	18.78	986
1	58	79	18.58000002	18.79	976
1	58	80	18.58000003	18.79999999	988
1	58	81	18.58000003	18.80999999	990
1	58	82	18.58000003	18.81999999	1000
1	58	83	18.58000003	18.82999998	999
1	58	84	18.58000003	18.83999998	995
1	58	85	18.58000004	18.84999997	999
1	58	86	18.58000004	18.85999997	1000
1	58	87	18.58000004	18.86999996	958
1	58	88	18.58000004	18.87999995	1000
1	58	89	18.58000004	18.88999994	999
1	58	90	18.58000005	18.89999992	1000
1	58	91	18.58000005	18.90999988	1000
1	58	92	18.58000005	18.91999981	999
1	58	93	18.58000005	18.92999968	1000
1	58	94	18.58000006	18.93999938	996
1	58	95	18.58	18.95	951
1	59	55	18.59	18.55	1000
1	59	56	18.59	18.56	1000
1	59	57	18.59000063	18.57000012	1000
1	59	58	18.59000059	18.5799994	992
1	59	59	18.59242289	18.58758195	829
1	59	60	18.59000053	18.59999947	994
1	59	61	18.58999996	18.61000003	999
1	59	62	18.59	18.62	1000
1	59	63	18.59000042	18.62999974	1000
1	59	64	18.59000021	18.63999992	1000
1	59	65	18.59000012	18.64999999	998
1	59	66	18.59000007	18.66000002	987
1	59	67	18.59000005	18.67000003	997
1	59	68	18.59000003	18.68000003	991
1	59	69	18.59000002	18.69000003	982
1	59	70	18.59000002	18.70000003	1000
1	59	71	18.59000002	18.71000003	1000
1	59	72	18.59000002	18.72000002	992
1	59	73	18.59000001	18.73000002	999
1	59	74	18.59000001	18.74000002	999
1	59	75	18.59000002	18.75000001	1000
1	59	76	18.59000002	18.76000001	1000
1	59	77	18.59000002	18.77	999
1	59	78	18.59000002	18.78	992
1	59	79	18.59000002	18.79	944
1	59	80	18.59000002	18.79999999	989
1	59	81	18.59000002	18.80999999	999
1	59	82	18.59000003	18.81999999	986
1	59	83	18.59000003	18.82999998	999
1	59	84	18.59000003	18.83999998	1000
1	59	85	18.59000003	18.84999997	992
1	59	86	18.59000003	18.85999997	999
1	59	87	18.59000003	18.86999996	999
1	59	88	18.59000004	18.87999995	1000
1	59	89	18.59000004	18.88999994	999
1	59	90	18.59000004	18.89999992	1000
1	59	91	18.59000004	18.90999988	1000
1	59	92	18.59000004	18.91999981	999
1	59	93	18.59000005	18.92999967	999
1	59	94	18.59000006	18.93999938	994
1	59	95	18.59	18.95	948
1	60	55	18.6	18.55	1000
1	60	56	18.6	18.56	1000
1	60	57	18.60000006	18.5700007	1000
1	60	58	18.60000041	18.5800001	1000
1	60	59	18.60000056	18.58999944	995
1	60	60	18.60242548	18.59757804	832
1	60	61	18.60000053	18.60999947	992
1	60	62	18.59999996	18.62000004	1000
1	60	63	18.6	18.63	1000
1	60	64	18.60000042	18.63999971	1000
1	60	65	18.60000021	18.6499999	999
1	60	66	18.60000012	18.65999997	985
1	60	67	18.60000007	18.67	994
1	60	68	18.60000005	18.68000001	998
1	60	69	18.60000003	18.69000002	997
1	60	70	18.60000003	18.70000002	939
1	60	71	18.60000002	18.71000002	998
1	60	72	18.60000002	18.72000002	1000
1	60	73	18.60000002	18.73000002	1000
1	60	74	18.60000002	18.74000001	1000
1	60	75	18.60000002	18.75000001	999
1	60	76	18.60000002	18.76000001	1000
1	60	77	18.60000002	18.77	997
1	60	78	18.60000002	18.78	995
1	60	79	18.60000002	18.79	996
1	60	80	18.60000002	18.79999999	762
1	60	81	18.60000002	18.80999999	997
1	60	82	18.60000002	18.81999999	995
1	60	83	18.60000002	18.82999998	993
1	60	84	18.60000003	18.83999998	998
1	60	85	18.60000003	18.84999998	1000
1	60	86	18.60000003	18.85999997	999
1	60	87	18.60000003	18.86999996	1000
1	60	88	18.60000003	18.87999995	1000
1	60	89	18.60000003	18.88999994	1000
1	60	90	18.60000003	18.89999992	998
1	60	91	18.60000004	18.90999988	999
1	60	92	18.60000004	18.91999981	1000
1	60	93	18.60000004	18.92999967	1000
1	60	94	18.60000005	18.93999937	996
1	60	95	18.6	18.95	953
1	61	55	18.61	18.55	1000
1	61	56	18.61	18.56	1000
1	61	57	18.61	18.57000075	1000
1	61	58	18.60999999	18.58000052	1000
1	61	59	18.61000026	18.59000009	1000
1	61	60	18.61000054	18.59999946	997
1	61	61	18.61242754	18.60757511	828
1	61	62	18.61000053	18.61999947	994
1	61	63	18.60999996	18.63000004	1000
1	61	64	18.61	18.64	999
1	61	65	18.61000042	18.64999968	997
1	61	66	18.61000021	18.65999988	986
1	61	67	18.61000012	18.66999995	995
1	61	68	18.61000007	18.67999999	970
1	61	69	18.61000005	18.69	1000
1	61	70	18.61000004	18.70000001	1000
1	61	71	18.61000003	18.71000001	992
1	61	72	18.61000002	18.72000001	997
1	61	73	18.61000002	18.73000001	998
1	61	74	18.61000002	18.74000001	997
1	61	75	18.61000002	18.75000001	993
1	61	76	18.61000002	18.76000001	1000
1	61	77	18.61000002	18.77	1000
