QXsoll	QYsoll	ERROR_SET	QXistNoSC	QYistNoSC	EMITXi	EMITYi	EMITXe	EMITYe	PARTICLES_LEFT
55	55	1	18.55	18.55000001	8.7520449705e-06	3.69995050046e-06	5.10266004087e-06	5.10787474617e-06	795
55	56	1	18.55	18.56	8.7520433173e-06	3.69993824965e-06	8.18066600479e-06	4.36666197983e-06	986
55	57	1	18.54999985	18.5700009	8.75204310516e-06	3.69992655848e-06	8.74485510495e-06	3.95456371246e-06	1000
55	58	1	18.54999986	18.58000063	8.7520430458e-06	3.69991483699e-06	8.78206120381e-06	3.83688476758e-06	1000
55	59	1	18.54999987	18.59000045	8.75204302926e-06	3.69990290562e-06	8.87178203872e-06	3.80472961171e-06	1000
55	60	1	18.54999988	18.60000034	8.7520430314e-06	3.699890641e-06	8.92440701505e-06	3.75971380209e-06	1000
55	61	1	18.54999989	18.61000026	8.75204304379e-06	3.69987793782e-06	8.8286867681e-06	3.76969271381e-06	1000
55	62	1	18.5499999	18.62000021	8.75204306327e-06	3.69986469724e-06	8.94600842207e-06	3.7527869738e-06	1000
55	63	1	18.54999991	18.63000017	8.75204308777e-06	3.69985081994e-06	8.97732713229e-06	3.77610343805e-06	1000
55	64	1	18.54999991	18.64000014	8.75204311683e-06	3.69983620336e-06	8.87814101525e-06	3.79650970924e-06	1000
55	65	1	18.54999992	18.65000011	8.7520431498e-06	3.69982073748e-06	8.83743008633e-06	3.79209658152e-06	988
55	66	1	18.54999993	18.6600001	8.75204318629e-06	3.69980430293e-06	8.8218497243e-06	3.81900198865e-06	994
55	67	1	18.54999994	18.67000008	8.7520432268e-06	3.69978676778e-06	8.81528993325e-06	3.79191240728e-06	997
55	68	1	18.54999995	18.68000007	8.75204327137e-06	3.69976798518e-06	8.95108234793e-06	3.74812209919e-06	994
55	69	1	18.54999995	18.69000006	8.75204332001e-06	3.69974779001e-06	8.93984475105e-06	3.76636737562e-06	992
55	70	1	18.54999996	18.70000005	8.75204337312e-06	3.69972599545e-06	8.968579605e-06	3.78812344384e-06	998
55	71	1	18.54999997	18.71000004	8.7520434317e-06	3.6997023891e-06	9.01119202675e-06	3.83598200934e-06	999
55	72	1	18.54999997	18.72000003	8.75204349609e-06	3.69967672801e-06	8.98913925735e-06	3.7996451575e-06	1000
55	73	1	18.54999998	18.73000003	8.75204356704e-06	3.69964873349e-06	9.02304357114e-06	3.77970474507e-06	1000
55	74	1	18.54999999	18.74000002	8.75204364517e-06	3.69961808489e-06	9.11153097776e-06	3.85030698941e-06	988
55	75	1	18.54999999	18.75000002	8.75204373223e-06	3.69958441136e-06	9.04431903143e-06	3.82967688385e-06	998
55	76	1	18.55	18.76000001	8.75204382945e-06	3.69954728463e-06	8.93054211257e-06	3.88292695269e-06	999
55	77	1	18.55000001	18.77000001	8.75204393883e-06	3.69950620868e-06	8.9233266414e-06	3.88202352025e-06	1000
55	78	1	18.55000001	18.78000001	8.7520440618e-06	3.69946061002e-06	8.9549288092e-06	3.85534362621e-06	999
55	79	1	18.55000002	18.79	8.75204420193e-06	3.69940982761e-06	8.99152532686e-06	3.84780963145e-06	999
55	80	1	18.55000003	18.8	8.75204436269e-06	3.69935310552e-06	9.02172850575e-06	3.8123916879e-06	999
55	81	1	18.55000003	18.81	8.75204454835e-06	3.69928959095e-06	9.00697201716e-06	3.8228108898e-06	1000
55	82	1	18.55000004	18.82	8.75204476507e-06	3.69921834562e-06	9.03080726202e-06	3.82419413699e-06	1000
55	83	1	18.55000004	18.83	8.75204502078e-06	3.69913838684e-06	9.02192956299e-06	3.86438432646e-06	996
55	84	1	18.55000005	18.84	8.75204532541e-06	3.69904878556e-06	9.04398802993e-06	3.9278488307e-06	998
55	85	1	18.55000006	18.85	8.7520456935e-06	3.69894888443e-06	9.23606870464e-06	3.94994877899e-06	998
55	86	1	18.55000006	18.86	8.7520461449e-06	3.6988387554e-06	9.18399982639e-06	3.97084982339e-06	999
55	87	1	18.55000007	18.87	8.75204670814e-06	3.69872016041e-06	9.34853097528e-06	4.11901561596e-06	998
55	88	1	18.55000007	18.88000001	8.75204742518e-06	3.69859858265e-06	9.17666831076e-06	3.96217925549e-06	1000
55	89	1	18.55000007	18.89000002	8.75204835894e-06	3.69848764002e-06	9.07877245949e-06	3.99531576136e-06	1000
