@ NAME             %09s "TRACKSUMM"
@ TYPE             %09s "TRACKSUMM"
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.05.01 Linux 64"
@ DATE             %08s "29/01/20"
@ TIME             %08s "14.05.20"
*     NUMBER       TURN                      X                     PX                      Y                     PY                      T                     PT                      S                      E 
$         %d         %d                    %le                    %le                    %le                    %le                    %le                    %le                    %le                    %le 
          1          0   0.00000000000000e+00   0.00000000000000e+00   0.00000000000000e+00   0.00000000000000e+00  -0.00000000000000e+00   0.00000000000000e+00   0.00000000000000e+00   2.69295594705200e+02
          1          1   5.00025003542380e-03   9.99949997083301e-03  -5.00075010209829e-03  -1.00005000041637e-02  -8.80894863554138e-05   0.00000000000000e+00   0.00000000000000e+00   2.69295594705200e+02
