# Qx	Qy	Survival
18.55	18.55	65.00
18.56	18.55	31.00
18.57	18.55	62.00
18.58	18.55	105.00
18.59	18.55	132.00
18.60	18.55	160.00
18.61	18.55	168.00
18.62	18.55	183.00
18.63	18.55	189.00
18.64	18.55	193.00
18.65	18.55	195.00
18.66	18.55	195.00
18.67	18.55	196.00
18.68	18.55	196.00
18.69	18.55	196.00
18.70	18.55	196.00
18.71	18.55	195.00
18.72	18.55	196.00
18.73	18.55	195.00
18.74	18.55	195.00
18.75	18.55	195.00
18.76	18.55	194.00
18.77	18.55	193.00
18.78	18.55	194.00
18.79	18.55	193.00
18.80	18.55	194.00
18.81	18.55	193.00
18.82	18.55	194.00
18.83	18.55	193.00
18.84	18.55	194.00
18.85	18.55	193.00
18.86	18.55	193.00
18.87	18.55	193.00
18.88	18.55	192.00
18.89	18.55	195.00
18.90	18.55	192.00
18.91	18.55	193.00
18.92	18.55	194.00
18.93	18.55	195.00
18.94	18.55	193.00
18.95	18.55	194.00
18.55	18.56	56.00
18.56	18.56	21.00
18.57	18.56	29.00
18.58	18.56	56.00
18.59	18.56	80.00
18.60	18.56	96.00
18.61	18.56	108.00
18.62	18.56	112.00
18.63	18.56	115.00
18.64	18.56	119.00
18.65	18.56	118.00
18.66	18.56	121.00
18.67	18.56	123.00
18.68	18.56	124.00
18.69	18.56	125.00
18.70	18.56	126.00
18.71	18.56	124.00
18.72	18.56	125.00
18.73	18.56	125.00
18.74	18.56	124.00
18.75	18.56	125.00
18.76	18.56	126.00
18.77	18.56	124.00
18.78	18.56	123.00
18.79	18.56	122.00
18.80	18.56	124.00
18.81	18.56	124.00
18.82	18.56	127.00
18.83	18.56	128.00
18.84	18.56	126.00
18.85	18.56	126.00
18.86	18.56	127.00
18.87	18.56	124.00
18.88	18.56	127.00
18.89	18.56	127.00
18.90	18.56	126.00
18.91	18.56	127.00
18.92	18.56	127.00
18.93	18.56	126.00
18.94	18.56	125.00
18.95	18.56	124.00
18.55	18.57	35.00
18.56	18.57	19.00
18.57	18.57	7.00
18.58	18.57	22.00
18.59	18.57	52.00
18.60	18.57	66.00
18.61	18.57	79.00
18.62	18.57	84.00
18.63	18.57	88.00
18.64	18.57	91.00
18.65	18.57	91.00
18.66	18.57	93.00
18.67	18.57	94.00
18.68	18.57	94.00
18.69	18.57	94.00
18.70	18.57	94.00
18.71	18.57	94.00
18.72	18.57	93.00
18.73	18.57	95.00
18.74	18.57	96.00
18.75	18.57	94.00
18.76	18.57	96.00
18.77	18.57	96.00
18.78	18.57	96.00
18.79	18.57	95.00
18.80	18.57	96.00
18.81	18.57	97.00
18.82	18.57	96.00
18.83	18.57	96.00
18.84	18.57	96.00
18.85	18.57	96.00
18.86	18.57	97.00
18.87	18.57	96.00
18.88	18.57	96.00
18.89	18.57	97.00
18.90	18.57	97.00
18.91	18.57	97.00
18.92	18.57	98.00
18.93	18.57	97.00
18.94	18.57	98.00
18.95	18.57	97.00
18.55	18.58	23.00
18.56	18.58	19.00
18.57	18.58	8.00
18.58	18.58	21.00
18.59	18.58	57.00
18.60	18.58	119.00
18.61	18.58	131.00
18.62	18.58	148.00
18.63	18.58	164.00
18.64	18.58	179.00
18.65	18.58	182.00
18.66	18.58	190.00
18.67	18.58	189.00
18.68	18.58	194.00
18.69	18.58	188.00
18.70	18.58	193.00
18.71	18.58	194.00
18.72	18.58	195.00
18.73	18.58	194.00
18.74	18.58	197.00
18.75	18.58	199.00
18.76	18.58	197.00
18.77	18.58	199.00
18.78	18.58	201.00
18.79	18.58	201.00
18.80	18.58	202.00
18.81	18.58	192.00
18.82	18.58	197.00
18.83	18.58	198.00
18.84	18.58	198.00
18.85	18.58	195.00
18.86	18.58	194.00
18.87	18.58	197.00
18.88	18.58	198.00
18.89	18.58	201.00
18.90	18.58	198.00
18.91	18.58	200.00
18.92	18.58	200.00
18.93	18.58	197.00
18.94	18.58	194.00
18.95	18.58	196.00
18.55	18.59	295.00
18.56	18.59	255.00
18.57	18.59	130.00
18.58	18.59	44.00
18.59	18.59	48.00
18.60	18.59	168.00
18.61	18.59	327.00
18.62	18.59	327.00
18.63	18.59	343.00
18.64	18.59	382.00
18.65	18.59	407.00
18.66	18.59	432.00
18.67	18.59	444.00
18.68	18.59	447.00
18.69	18.59	448.00
18.70	18.59	446.00
18.71	18.59	444.00
18.72	18.59	447.00
18.73	18.59	447.00
18.74	18.59	450.00
18.75	18.59	445.00
18.76	18.59	456.00
18.77	18.59	452.00
18.78	18.59	443.00
18.79	18.59	456.00
18.80	18.59	446.00
18.81	18.59	450.00
18.82	18.59	451.00
18.83	18.59	440.00
18.84	18.59	454.00
18.85	18.59	447.00
18.86	18.59	450.00
18.87	18.59	448.00
18.88	18.59	443.00
18.89	18.59	445.00
18.90	18.59	445.00
18.91	18.59	446.00
18.92	18.59	449.00
18.93	18.59	441.00
18.94	18.59	443.00
18.95	18.59	445.00
18.55	18.60	621.00
18.56	18.60	735.00
18.57	18.60	661.00
18.58	18.60	333.00
18.59	18.60	224.00
18.60	18.60	350.00
18.61	18.60	580.00
18.62	18.60	725.00
18.63	18.60	735.00
18.64	18.60	726.00
18.65	18.60	748.00
18.66	18.60	757.00
18.67	18.60	775.00
18.68	18.60	779.00
18.69	18.60	816.00
18.70	18.60	818.00
18.71	18.60	818.00
18.72	18.60	813.00
18.73	18.60	818.00
18.74	18.60	816.00
18.75	18.60	821.00
18.76	18.60	822.00
18.77	18.60	825.00
18.78	18.60	818.00
18.79	18.60	814.00
18.80	18.60	817.00
18.81	18.60	818.00
18.82	18.60	816.00
18.83	18.60	824.00
18.84	18.60	818.00
18.85	18.60	804.00
18.86	18.60	809.00
18.87	18.60	813.00
18.88	18.60	811.00
18.89	18.60	805.00
18.90	18.60	815.00
18.91	18.60	809.00
18.92	18.60	811.00
18.93	18.60	809.00
18.94	18.60	817.00
18.95	18.60	810.00
18.55	18.61	700.00
18.56	18.61	975.00
18.57	18.61	962.00
18.58	18.61	952.00
18.59	18.61	603.00
18.60	18.61	451.00
18.61	18.61	760.00
18.62	18.61	923.00
18.63	18.61	982.00
18.64	18.61	979.00
18.65	18.61	962.00
18.66	18.61	960.00
18.67	18.61	973.00
18.68	18.61	978.00
18.69	18.61	987.00
18.70	18.61	987.00
18.71	18.61	988.00
18.72	18.61	993.00
18.73	18.61	994.00
18.74	18.61	993.00
18.75	18.61	993.00
18.76	18.61	995.00
18.77	18.61	996.00
18.78	18.61	994.00
18.79	18.61	991.00
18.80	18.61	992.00
18.81	18.61	993.00
18.82	18.61	995.00
18.83	18.61	992.00
18.84	18.61	994.00
18.85	18.61	993.00
18.86	18.61	998.00
18.87	18.61	992.00
18.88	18.61	994.00
18.89	18.61	993.00
18.90	18.61	995.00
18.91	18.61	996.00
18.92	18.61	995.00
18.93	18.61	992.00
18.94	18.61	988.00
18.95	18.61	990.00
18.55	18.62	724.00
18.56	18.62	994.00
18.57	18.62	996.00
18.58	18.62	996.00
18.59	18.62	978.00
18.60	18.62	787.00
18.61	18.62	724.00
18.62	18.62	941.00
18.63	18.62	993.00
18.64	18.62	1000.00
18.65	18.62	995.00
18.66	18.62	987.00
18.67	18.62	969.00
18.68	18.62	975.00
18.69	18.62	993.00
18.70	18.62	996.00
18.71	18.62	997.00
18.72	18.62	997.00
18.73	18.62	1000.00
18.74	18.62	1000.00
18.75	18.62	1000.00
18.76	18.62	1000.00
18.77	18.62	1000.00
18.78	18.62	1000.00
