# Qx	Qy	Survival
18.55	18.55	283.00
18.56	18.55	210.00
18.57	18.55	172.00
18.58	18.55	153.00
18.59	18.55	135.00
18.60	18.55	104.00
18.61	18.55	91.00
18.62	18.55	88.00
18.63	18.55	106.00
18.64	18.55	139.00
18.65	18.55	141.00
18.66	18.55	160.00
18.67	18.55	154.00
18.68	18.55	151.00
18.69	18.55	171.00
18.70	18.55	171.00
18.71	18.55	197.00
18.72	18.55	216.00
18.73	18.55	226.00
18.74	18.55	236.00
18.75	18.55	279.00
18.76	18.55	303.00
18.77	18.55	332.00
18.78	18.55	366.00
18.79	18.55	384.00
18.80	18.55	401.00
18.81	18.55	405.00
18.82	18.55	387.00
18.83	18.55	373.00
18.84	18.55	379.00
18.85	18.55	369.00
18.86	18.55	360.00
18.87	18.55	353.00
18.88	18.55	348.00
18.89	18.55	346.00
18.90	18.55	343.00
18.91	18.55	327.00
18.92	18.55	303.00
18.93	18.55	271.00
18.94	18.55	281.00
18.95	18.55	276.00
18.55	18.56	255.00
18.56	18.56	213.00
18.57	18.56	167.00
18.58	18.56	140.00
18.59	18.56	123.00
18.60	18.56	95.00
18.61	18.56	76.00
18.62	18.56	72.00
18.63	18.56	85.00
18.64	18.56	112.00
18.65	18.56	128.00
18.66	18.56	139.00
18.67	18.56	133.00
18.68	18.56	136.00
18.69	18.56	145.00
18.70	18.56	155.00
18.71	18.56	159.00
18.72	18.56	188.00
18.73	18.56	200.00
18.74	18.56	214.00
18.75	18.56	234.00
18.76	18.56	270.00
18.77	18.56	301.00
18.78	18.56	318.00
18.79	18.56	342.00
18.80	18.56	343.00
18.81	18.56	341.00
18.82	18.56	349.00
18.83	18.56	341.00
18.84	18.56	324.00
18.85	18.56	323.00
18.86	18.56	321.00
18.87	18.56	303.00
18.88	18.56	301.00
18.89	18.56	294.00
18.90	18.56	294.00
18.91	18.56	278.00
18.92	18.56	260.00
18.93	18.56	260.00
18.94	18.56	239.00
18.95	18.56	234.00
18.55	18.57	199.00
18.56	18.57	209.00
18.57	18.57	155.00
18.58	18.57	139.00
18.59	18.57	113.00
18.60	18.57	98.00
18.61	18.57	79.00
18.62	18.57	60.00
18.63	18.57	65.00
18.64	18.57	92.00
18.65	18.57	102.00
18.66	18.57	123.00
18.67	18.57	116.00
18.68	18.57	123.00
18.69	18.57	128.00
18.70	18.57	124.00
18.71	18.57	134.00
18.72	18.57	151.00
18.73	18.57	161.00
18.74	18.57	173.00
18.75	18.57	197.00
18.76	18.57	220.00
18.77	18.57	246.00
18.78	18.57	274.00
18.79	18.57	287.00
18.80	18.57	303.00
18.81	18.57	310.00
18.82	18.57	301.00
18.83	18.57	313.00
18.84	18.57	300.00
18.85	18.57	295.00
18.86	18.57	289.00
18.87	18.57	278.00
18.88	18.57	276.00
18.89	18.57	274.00
18.90	18.57	275.00
18.91	18.57	253.00
18.92	18.57	237.00
18.93	18.57	214.00
18.94	18.57	204.00
18.95	18.57	190.00
18.55	18.58	155.00
18.56	18.58	173.00
18.57	18.58	158.00
18.58	18.58	128.00
18.59	18.58	105.00
18.60	18.58	90.00
18.61	18.58	72.00
18.62	18.58	59.00
18.63	18.58	51.00
18.64	18.58	67.00
18.65	18.58	81.00
18.66	18.58	101.00
18.67	18.58	105.00
18.68	18.58	115.00
18.69	18.58	103.00
18.70	18.58	113.00
18.71	18.58	116.00
18.72	18.58	118.00
18.73	18.58	130.00
18.74	18.58	142.00
18.75	18.58	166.00
18.76	18.58	181.00
18.77	18.58	198.00
18.78	18.58	228.00
18.79	18.58	244.00
18.80	18.58	250.00
18.81	18.58	257.00
18.82	18.58	277.00
18.83	18.58	275.00
18.84	18.58	260.00
18.85	18.58	255.00
18.86	18.58	249.00
18.87	18.58	231.00
18.88	18.58	239.00
18.89	18.58	235.00
18.90	18.58	224.00
18.91	18.58	233.00
18.92	18.58	205.00
18.93	18.58	197.00
18.94	18.58	181.00
18.95	18.58	165.00
18.55	18.59	116.00
18.56	18.59	136.00
18.57	18.59	146.00
18.58	18.59	120.00
18.59	18.59	93.00
18.60	18.59	78.00
18.61	18.59	66.00
18.62	18.59	53.00
18.63	18.59	44.00
18.64	18.59	44.00
18.65	18.59	63.00
18.66	18.59	82.00
18.67	18.59	87.00
18.68	18.59	90.00
18.69	18.59	80.00
18.70	18.59	90.00
18.71	18.59	99.00
18.72	18.59	111.00
18.73	18.59	105.00
18.74	18.59	126.00
18.75	18.59	140.00
18.76	18.59	155.00
18.77	18.59	176.00
18.78	18.59	186.00
18.79	18.59	204.00
18.80	18.59	217.00
18.81	18.59	219.00
18.82	18.59	234.00
18.83	18.59	225.00
18.84	18.59	225.00
18.85	18.59	220.00
18.86	18.59	210.00
18.87	18.59	202.00
18.88	18.59	200.00
18.89	18.59	201.00
18.90	18.59	198.00
18.91	18.59	189.00
18.92	18.59	195.00
18.93	18.59	174.00
18.94	18.59	154.00
18.95	18.59	145.00
18.55	18.60	95.00
18.56	18.60	95.00
18.57	18.60	113.00
18.58	18.60	115.00
18.59	18.60	91.00
18.60	18.60	73.00
18.61	18.60	59.00
18.62	18.60	49.00
18.63	18.60	39.00
18.64	18.60	32.00
18.65	18.60	47.00
18.66	18.60	62.00
18.67	18.60	69.00
18.68	18.60	71.00
18.69	18.60	73.00
18.70	18.60	77.00
18.71	18.60	85.00
18.72	18.60	86.00
18.73	18.60	95.00
18.74	18.60	94.00
18.75	18.60	104.00
18.76	18.60	139.00
18.77	18.60	140.00
18.78	18.60	163.00
18.79	18.60	167.00
18.80	18.60	184.00
18.81	18.60	185.00
18.82	18.60	188.00
