# Qx	Qy	Survival mean	Survival std
18.55	18.55	858.56	54.71
18.56	18.55	993.33	10.57
18.57	18.55	999.44	1.26
18.58	18.55	999.78	0.42
18.59	18.55	999.22	1.31
18.60	18.55	998.78	0.92
18.61	18.55	998.89	1.59
18.62	18.55	999.11	0.99
18.63	18.55	997.78	2.39
18.64	18.55	998.56	1.50
18.65	18.55	990.44	13.24
18.66	18.55	983.67	24.25
18.67	18.55	990.33	13.46
18.68	18.55	994.89	4.91
18.69	18.55	996.22	2.30
18.70	18.55	989.33	6.96
18.71	18.55	981.56	19.32
18.72	18.55	990.11	10.42
18.73	18.55	993.44	5.56
18.74	18.55	983.89	15.95
18.75	18.55	993.78	6.36
18.76	18.55	999.11	0.99
18.77	18.55	997.56	3.65
18.78	18.55	999.56	0.68
18.79	18.55	998.78	1.40
18.80	18.55	998.11	2.81
18.81	18.55	996.33	4.42
18.82	18.55	995.67	3.62
18.83	18.55	988.11	9.53
18.84	18.55	976.78	19.01
18.85	18.55	978.22	24.37
18.86	18.55	984.33	16.93
18.87	18.55	965.11	35.51
18.88	18.55	975.78	26.02
18.89	18.55	974.67	31.46
18.90	18.55	943.22	70.00
18.91	18.55	969.44	62.97
18.92	18.55	972.33	29.17
18.93	18.55	955.33	46.67
18.94	18.55	970.22	36.74
18.95	18.55	966.56	30.25
18.55	18.56	986.67	19.03
18.56	18.56	869.22	52.23
18.57	18.56	994.33	9.19
18.58	18.56	1000.00	0.00
18.59	18.56	999.44	0.68
18.60	18.56	1000.00	0.00
18.61	18.56	999.89	0.31
18.62	18.56	999.56	0.68
18.63	18.56	999.33	0.94
18.64	18.56	999.11	0.87
18.65	18.56	992.56	11.92
18.66	18.56	986.22	23.11
18.67	18.56	990.44	14.58
18.68	18.56	995.89	5.15
18.69	18.56	992.33	5.93
18.70	18.56	988.44	6.41
18.71	18.56	987.00	11.46
18.72	18.56	957.11	48.81
18.73	18.56	989.44	9.15
18.74	18.56	989.11	11.93
18.75	18.56	997.33	3.46
18.76	18.56	1000.00	0.00
18.77	18.56	1000.00	0.00
18.78	18.56	999.67	0.67
18.79	18.56	998.56	1.83
18.80	18.56	997.11	2.13
18.81	18.56	991.67	7.64
18.82	18.56	983.78	16.05
18.83	18.56	978.56	23.20
18.84	18.56	985.67	12.75
18.85	18.56	966.56	38.65
18.86	18.56	977.33	26.00
18.87	18.56	977.44	28.31
18.88	18.56	948.00	66.83
18.89	18.56	976.78	44.09
18.90	18.56	977.67	26.09
18.91	18.56	962.89	44.14
18.92	18.56	981.44	22.28
18.93	18.56	979.44	20.45
18.94	18.56	981.56	13.49
18.95	18.56	986.89	17.67
18.55	18.57	1000.00	0.00
18.56	18.57	989.44	16.62
18.57	18.57	870.56	51.42
18.58	18.57	994.78	8.05
18.59	18.57	999.56	0.68
18.60	18.57	999.67	0.47
18.61	18.57	999.67	0.94
18.62	18.57	999.89	0.31
18.63	18.57	999.78	0.42
18.64	18.57	1000.00	0.00
18.65	18.57	992.89	11.97
18.66	18.57	989.78	20.62
18.67	18.57	993.33	12.21
18.68	18.57	993.78	8.35
18.69	18.57	991.67	7.23
18.70	18.57	980.33	16.92
18.71	18.57	978.44	27.58
18.72	18.57	989.89	8.72
18.73	18.57	980.22	14.88
18.74	18.57	992.44	4.67
18.75	18.57	999.33	0.94
18.76	18.57	999.89	0.31
18.77	18.57	1000.00	0.00
18.78	18.57	997.89	2.23
18.79	18.57	991.11	8.49
18.80	18.57	983.00	19.06
18.81	18.57	981.33	20.53
18.82	18.57	988.33	11.61
18.83	18.57	970.11	35.29
18.84	18.57	981.67	23.33
18.85	18.57	977.56	29.55
18.86	18.57	938.33	83.39
18.87	18.57	979.56	35.72
18.88	18.57	980.44	25.18
18.89	18.57	966.22	41.76
18.90	18.57	983.78	19.02
18.91	18.57	982.11	19.37
18.92	18.57	987.89	12.48
18.93	18.57	993.56	7.21
18.94	18.57	997.00	4.57
18.95	18.57	996.11	9.67
18.55	18.58	1000.00	0.00
18.56	18.58	999.89	0.31
18.57	18.58	989.11	16.70
18.58	18.58	871.67	50.78
18.59	18.58	993.89	9.04
18.60	18.58	999.56	0.68
18.61	18.58	999.33	1.25
18.62	18.58	999.89	0.31
18.63	18.58	999.67	0.67
18.64	18.58	999.89	0.31
18.65	18.58	992.00	13.35
18.66	18.58	991.22	19.25
18.67	18.58	995.11	10.51
18.68	18.58	984.67	13.98
18.69	18.58	992.89	6.59
18.70	18.58	990.22	8.68
18.71	18.58	959.33	38.48
18.72	18.58	985.67	11.14
18.73	18.58	989.11	10.67
18.74	18.58	995.44	3.10
18.75	18.58	999.22	1.55
18.76	18.58	999.67	0.67
18.77	18.58	994.89	5.57
18.78	18.58	982.33	15.87
18.79	18.58	975.33	25.59
18.80	18.58	987.78	11.16
18.81	18.58	970.67	35.71
18.82	18.58	981.11	20.60
18.83	18.58	980.56	23.43
18.84	18.58	950.56	66.48
18.85	18.58	981.67	31.02
18.86	18.58	977.67	27.69
18.87	18.58	965.89	41.90
