# Qx	Qy	Survival
18.55	18.55	277.00
18.56	18.55	218.00
18.57	18.55	173.00
18.58	18.55	150.00
18.59	18.55	142.00
18.60	18.55	112.00
18.61	18.55	96.00
18.62	18.55	111.00
18.63	18.55	127.00
18.64	18.55	147.00
18.65	18.55	164.00
18.66	18.55	165.00
18.67	18.55	157.00
18.68	18.55	166.00
18.69	18.55	176.00
18.70	18.55	170.00
18.71	18.55	184.00
18.72	18.55	226.00
18.73	18.55	225.00
18.74	18.55	255.00
18.75	18.55	294.00
18.76	18.55	325.00
18.77	18.55	359.00
18.78	18.55	377.00
18.79	18.55	389.00
18.80	18.55	398.00
18.81	18.55	412.00
18.82	18.55	433.00
18.83	18.55	426.00
18.84	18.55	433.00
18.85	18.55	431.00
18.86	18.55	429.00
18.87	18.55	416.00
18.88	18.55	414.00
18.89	18.55	401.00
18.90	18.55	392.00
18.91	18.55	381.00
18.92	18.55	367.00
18.93	18.55	343.00
18.94	18.55	317.00
18.95	18.55	297.00
18.55	18.56	261.00
18.56	18.56	212.00
18.57	18.56	161.00
18.58	18.56	145.00
18.59	18.56	121.00
18.60	18.56	101.00
18.61	18.56	79.00
18.62	18.56	87.00
18.63	18.56	96.00
18.64	18.56	135.00
18.65	18.56	130.00
18.66	18.56	139.00
18.67	18.56	134.00
18.68	18.56	146.00
18.69	18.56	139.00
18.70	18.56	144.00
18.71	18.56	163.00
18.72	18.56	175.00
18.73	18.56	196.00
18.74	18.56	230.00
18.75	18.56	250.00
18.76	18.56	272.00
18.77	18.56	305.00
18.78	18.56	322.00
18.79	18.56	336.00
18.80	18.56	346.00
18.81	18.56	357.00
18.82	18.56	384.00
18.83	18.56	387.00
18.84	18.56	389.00
18.85	18.56	390.00
18.86	18.56	384.00
18.87	18.56	382.00
18.88	18.56	369.00
18.89	18.56	364.00
18.90	18.56	359.00
18.91	18.56	346.00
18.92	18.56	321.00
18.93	18.56	307.00
18.94	18.56	276.00
18.95	18.56	253.00
18.55	18.57	194.00
18.56	18.57	203.00
18.57	18.57	157.00
18.58	18.57	135.00
18.59	18.57	115.00
18.60	18.57	97.00
18.61	18.57	76.00
18.62	18.57	69.00
18.63	18.57	84.00
18.64	18.57	100.00
18.65	18.57	107.00
18.66	18.57	121.00
18.67	18.57	122.00
18.68	18.57	122.00
18.69	18.57	129.00
18.70	18.57	122.00
18.71	18.57	139.00
18.72	18.57	148.00
18.73	18.57	173.00
18.74	18.57	187.00
18.75	18.57	200.00
18.76	18.57	222.00
18.77	18.57	255.00
18.78	18.57	280.00
18.79	18.57	303.00
18.80	18.57	292.00
18.81	18.57	310.00
18.82	18.57	323.00
18.83	18.57	330.00
18.84	18.57	343.00
18.85	18.57	346.00
18.86	18.57	346.00
18.87	18.57	343.00
18.88	18.57	338.00
18.89	18.57	318.00
18.90	18.57	325.00
18.91	18.57	303.00
18.92	18.57	285.00
18.93	18.57	270.00
18.94	18.57	247.00
18.95	18.57	229.00
18.55	18.58	162.00
18.56	18.58	175.00
18.57	18.58	157.00
18.58	18.58	127.00
18.59	18.58	106.00
18.60	18.58	93.00
18.61	18.58	71.00
18.62	18.58	61.00
18.63	18.58	58.00
18.64	18.58	67.00
18.65	18.58	89.00
18.66	18.58	96.00
18.67	18.58	113.00
18.68	18.58	103.00
18.69	18.58	101.00
18.70	18.58	106.00
18.71	18.58	108.00
18.72	18.58	132.00
18.73	18.58	141.00
18.74	18.58	165.00
18.75	18.58	175.00
18.76	18.58	194.00
18.77	18.58	215.00
18.78	18.58	230.00
