# Qx	Qy	Survival
18.55	18.55	339.00
18.56	18.55	296.00
18.57	18.55	261.00
18.58	18.55	244.00
18.59	18.55	235.00
18.60	18.55	260.00
18.61	18.55	300.00
18.62	18.55	329.00
18.63	18.55	358.00
18.64	18.55	381.00
18.65	18.55	397.00
18.66	18.55	418.00
18.67	18.55	437.00
18.68	18.55	451.00
18.69	18.55	465.00
18.70	18.55	465.00
18.71	18.55	476.00
18.72	18.55	479.00
18.73	18.55	477.00
18.74	18.55	473.00
18.75	18.55	477.00
18.76	18.55	477.00
18.77	18.55	473.00
18.78	18.55	474.00
18.79	18.55	475.00
18.80	18.55	478.00
18.81	18.55	480.00
18.82	18.55	473.00
18.83	18.55	474.00
18.84	18.55	474.00
18.85	18.55	470.00
18.86	18.55	468.00
18.87	18.55	458.00
18.88	18.55	459.00
18.89	18.55	456.00
18.90	18.55	450.00
18.91	18.55	449.00
18.92	18.55	453.00
18.93	18.55	442.00
18.94	18.55	442.00
18.95	18.55	433.00
18.55	18.56	297.00
18.56	18.56	271.00
18.57	18.56	243.00
18.58	18.56	209.00
18.59	18.56	201.00
18.60	18.56	215.00
18.61	18.56	245.00
18.62	18.56	269.00
18.63	18.56	315.00
18.64	18.56	332.00
18.65	18.56	348.00
18.66	18.56	362.00
18.67	18.56	382.00
18.68	18.56	400.00
18.69	18.56	405.00
18.70	18.56	416.00
18.71	18.56	422.00
18.72	18.56	420.00
18.73	18.56	424.00
18.74	18.56	425.00
18.75	18.56	424.00
18.76	18.56	427.00
18.77	18.56	427.00
18.78	18.56	420.00
18.79	18.56	427.00
18.80	18.56	422.00
18.81	18.56	427.00
18.82	18.56	428.00
18.83	18.56	426.00
18.84	18.56	420.00
18.85	18.56	418.00
18.86	18.56	411.00
18.87	18.56	419.00
18.88	18.56	410.00
18.89	18.56	415.00
18.90	18.56	407.00
18.91	18.56	400.00
18.92	18.56	400.00
18.93	18.56	400.00
18.94	18.56	384.00
18.95	18.56	378.00
18.55	18.57	228.00
18.56	18.57	243.00
18.57	18.57	222.00
18.58	18.57	189.00
18.59	18.57	168.00
18.60	18.57	172.00
18.61	18.57	197.00
18.62	18.57	223.00
18.63	18.57	248.00
18.64	18.57	286.00
18.65	18.57	292.00
18.66	18.57	317.00
18.67	18.57	333.00
18.68	18.57	350.00
18.69	18.57	359.00
18.70	18.57	370.00
18.71	18.57	383.00
18.72	18.57	378.00
18.73	18.57	387.00
18.74	18.57	385.00
18.75	18.57	386.00
18.76	18.57	382.00
18.77	18.57	384.00
18.78	18.57	382.00
18.79	18.57	383.00
18.80	18.57	383.00
18.81	18.57	383.00
18.82	18.57	378.00
18.83	18.57	380.00
18.84	18.57	377.00
18.85	18.57	375.00
18.86	18.57	378.00
18.87	18.57	369.00
18.88	18.57	366.00
18.89	18.57	371.00
18.90	18.57	363.00
18.91	18.57	363.00
18.92	18.57	364.00
18.93	18.57	359.00
18.94	18.57	344.00
18.95	18.57	348.00
18.55	18.58	186.00
18.56	18.58	195.00
18.57	18.58	203.00
18.58	18.58	173.00
18.59	18.58	151.00
18.60	18.58	143.00
18.61	18.58	149.00
18.62	18.58	180.00
18.63	18.58	201.00
18.64	18.58	217.00
18.65	18.58	251.00
18.66	18.58	264.00
18.67	18.58	279.00
18.68	18.58	303.00
18.69	18.58	306.00
18.70	18.58	319.00
18.71	18.58	326.00
18.72	18.58	323.00
18.73	18.58	330.00
18.74	18.58	330.00
18.75	18.58	333.00
18.76	18.58	335.00
18.77	18.58	335.00
18.78	18.58	334.00
18.79	18.58	331.00
18.80	18.58	332.00
18.81	18.58	335.00
18.82	18.58	334.00
18.83	18.58	335.00
18.84	18.58	327.00
18.85	18.58	325.00
18.86	18.58	328.00
18.87	18.58	322.00
18.88	18.58	320.00
18.89	18.58	319.00
18.90	18.58	321.00
18.91	18.58	322.00
18.92	18.58	316.00
18.93	18.58	303.00
18.94	18.58	313.00
18.95	18.58	296.00
18.55	18.59	137.00
18.56	18.59	161.00
18.57	18.59	169.00
18.58	18.59	157.00
18.59	18.59	136.00
18.60	18.59	126.00
18.61	18.59	114.00
18.62	18.59	135.00
18.63	18.59	149.00
18.64	18.59	182.00
18.65	18.59	205.00
18.66	18.59	215.00
18.67	18.59	233.00
18.68	18.59	254.00
18.69	18.59	258.00
18.70	18.59	274.00
18.71	18.59	277.00
18.72	18.59	286.00
18.73	18.59	282.00
18.74	18.59	285.00
18.75	18.59	286.00
18.76	18.59	289.00
18.77	18.59	289.00
18.78	18.59	288.00
18.79	18.59	288.00
18.80	18.59	290.00
18.81	18.59	289.00
18.82	18.59	286.00
18.83	18.59	287.00
18.84	18.59	291.00
18.85	18.59	285.00
18.86	18.59	284.00
18.87	18.59	284.00
18.88	18.59	285.00
18.89	18.59	277.00
18.90	18.59	287.00
18.91	18.59	273.00
18.92	18.59	278.00
18.93	18.59	273.00
18.94	18.59	275.00
18.95	18.59	268.00
18.55	18.60	102.00
18.56	18.60	118.00
18.57	18.60	136.00
18.58	18.60	138.00
18.59	18.60	126.00
18.60	18.60	101.00
18.61	18.60	98.00
18.62	18.60	96.00
18.63	18.60	124.00
18.64	18.60	140.00
18.65	18.60	163.00
18.66	18.60	190.00
18.67	18.60	199.00
18.68	18.60	216.00
18.69	18.60	226.00
18.70	18.60	238.00
18.71	18.60	245.00
18.72	18.60	246.00
18.73	18.60	249.00
18.74	18.60	254.00
18.75	18.60	258.00
18.76	18.60	254.00
18.77	18.60	253.00
18.78	18.60	254.00
18.79	18.60	253.00
18.80	18.60	250.00
18.81	18.60	251.00
18.82	18.60	249.00
18.83	18.60	253.00
18.84	18.60	254.00
18.85	18.60	245.00
18.86	18.60	252.00
18.87	18.60	249.00
18.88	18.60	252.00
18.89	18.60	255.00
18.90	18.60	249.00
18.91	18.60	246.00
18.92	18.60	239.00
18.93	18.60	245.00
18.94	18.60	236.00
18.95	18.60	236.00
18.55	18.61	78.00
18.56	18.61	88.00
18.57	18.61	106.00
18.58	18.61	115.00
18.59	18.61	115.00
18.60	18.61	94.00
18.61	18.61	84.00
18.62	18.61	84.00
18.63	18.61	89.00
18.64	18.61	106.00
18.65	18.61	136.00
18.66	18.61	158.00
18.67	18.61	183.00
18.68	18.61	196.00
18.69	18.61	214.00
18.70	18.61	231.00
18.71	18.61	229.00
18.72	18.61	243.00
18.73	18.61	246.00
18.74	18.61	256.00
18.75	18.61	262.00
18.76	18.61	255.00
18.77	18.61	258.00
18.78	18.61	258.00
18.79	18.61	260.00
18.80	18.61	268.00
18.81	18.61	261.00
18.82	18.61	263.00
18.83	18.61	251.00
18.84	18.61	263.00
18.85	18.61	253.00
18.86	18.61	264.00
18.87	18.61	268.00
18.88	18.61	264.00
18.89	18.61	270.00
18.90	18.61	266.00
18.91	18.61	265.00
18.92	18.61	257.00
18.93	18.61	262.00
18.94	18.61	261.00
18.95	18.61	264.00
18.55	18.62	105.00
18.56	18.62	82.00
18.57	18.62	88.00
18.58	18.62	94.00
18.59	18.62	102.00
18.60	18.62	92.00
18.61	18.62	85.00
18.62	18.62	71.00
18.63	18.62	75.00
18.64	18.62	93.00
18.65	18.62	124.00
18.66	18.62	160.00
18.67	18.62	175.00
18.68	18.62	205.00
18.69	18.62	227.00
18.70	18.62	253.00
18.71	18.62	274.00
18.72	18.62	300.00
18.73	18.62	316.00
18.74	18.62	326.00
18.75	18.62	332.00
18.76	18.62	336.00
18.77	18.62	337.00
18.78	18.62	345.00
18.79	18.62	349.00
18.80	18.62	352.00
18.81	18.62	357.00
18.82	18.62	358.00
18.83	18.62	355.00
18.84	18.62	352.00
18.85	18.62	352.00
18.86	18.62	352.00
18.87	18.62	361.00
18.88	18.62	352.00
18.89	18.62	364.00
18.90	18.62	355.00
18.91	18.62	361.00
18.92	18.62	361.00
18.93	18.62	359.00
18.94	18.62	354.00
18.95	18.62	350.00
18.55	18.63	212.00
18.56	18.63	217.00
18.57	18.63	152.00
18.58	18.63	96.00
18.59	18.63	90.00
18.60	18.63	92.00
18.61	18.63	79.00
18.62	18.63	67.00
18.63	18.63	65.00
18.64	18.63	72.00
18.65	18.63	113.00
18.66	18.63	187.00
18.67	18.63	197.00
18.68	18.63	215.00
18.69	18.63	243.00
18.70	18.63	260.00
18.71	18.63	309.00
18.72	18.63	364.00
18.73	18.63	409.00
18.74	18.63	433.00
18.75	18.63	472.00
18.76	18.63	512.00
18.77	18.63	514.00
18.78	18.63	521.00
18.79	18.63	518.00
18.80	18.63	515.00
18.81	18.63	523.00
18.82	18.63	533.00
18.83	18.63	534.00
18.84	18.63	540.00
18.85	18.63	540.00
18.86	18.63	535.00
18.87	18.63	540.00
18.88	18.63	542.00
18.89	18.63	539.00
18.90	18.63	542.00
18.91	18.63	548.00
18.92	18.63	552.00
18.93	18.63	550.00
18.94	18.63	546.00
18.95	18.63	546.00
18.55	18.64	343.00
18.56	18.64	558.00
18.57	18.64	516.00
18.58	18.64	408.00
18.59	18.64	320.00
18.60	18.64	278.00
18.61	18.64	175.00
18.62	18.64	89.00
18.63	18.64	64.00
18.64	18.64	59.00
18.65	18.64	83.00
18.66	18.64	166.00
18.67	18.64	336.00
18.68	18.64	406.00
18.69	18.64	390.00
18.70	18.64	359.00
18.71	18.64	389.00
18.72	18.64	459.00
18.73	18.64	508.00
18.74	18.64	588.00
18.75	18.64	648.00
18.76	18.64	689.00
18.77	18.64	741.00
18.78	18.64	766.00
18.79	18.64	772.00
18.80	18.64	766.00
18.81	18.64	768.00
18.82	18.64	770.00
18.83	18.64	771.00
18.84	18.64	785.00
18.85	18.64	774.00
18.86	18.64	780.00
18.87	18.64	776.00
18.88	18.64	770.00
18.89	18.64	773.00
18.90	18.64	773.00
18.91	18.64	786.00
18.92	18.64	773.00
18.93	18.64	781.00
18.94	18.64	778.00
18.95	18.64	778.00
18.55	18.65	372.00
18.56	18.65	747.00
18.57	18.65	857.00
18.58	18.65	796.00
18.59	18.65	772.00
18.60	18.65	733.00
18.61	18.65	555.00
18.62	18.65	347.00
18.63	18.65	191.00
18.64	18.65	134.00
18.65	18.65	147.00
18.66	18.65	171.00
18.67	18.65	330.00
18.68	18.65	608.00
18.69	18.65	768.00
18.70	18.65	775.00
18.71	18.65	731.00
18.72	18.65	707.00
18.73	18.65	712.00
18.74	18.65	777.00
18.75	18.65	815.00
18.76	18.65	875.00
18.77	18.65	903.00
18.78	18.65	918.00
18.79	18.65	950.00
18.80	18.65	962.00
18.81	18.65	957.00
18.82	18.65	962.00
18.83	18.65	959.00
18.84	18.65	962.00
18.85	18.65	957.00
18.86	18.65	960.00
18.87	18.65	960.00
18.88	18.65	956.00
18.89	18.65	967.00
18.90	18.65	961.00
18.91	18.65	963.00
18.92	18.65	962.00
18.93	18.65	964.00
18.94	18.65	958.00
18.95	18.65	946.00
18.55	18.66	392.00
18.56	18.66	774.00
18.57	18.66	984.00
18.58	18.66	948.00
18.59	18.66	944.00
18.60	18.66	966.00
18.61	18.66	933.00
18.62	18.66	774.00
18.63	18.66	471.00
18.64	18.66	319.00
18.65	18.66	278.00
18.66	18.66	380.00
18.67	18.66	418.00
18.68	18.66	690.00
18.69	18.66	907.00
18.70	18.66	966.00
18.71	18.66	939.00
18.72	18.66	897.00
18.73	18.66	888.00
18.74	18.66	896.00
18.75	18.66	916.00
18.76	18.66	942.00
18.77	18.66	973.00
18.78	18.66	982.00
18.79	18.66	988.00
18.80	18.66	993.00
18.81	18.66	998.00
18.82	18.66	1000.00
18.83	18.66	999.00
18.84	18.66	1000.00
18.85	18.66	1000.00
18.86	18.66	1000.00
18.87	18.66	999.00
18.88	18.66	1000.00
18.89	18.66	1000.00
18.90	18.66	1000.00
18.91	18.66	1000.00
18.92	18.66	1000.00
18.93	18.66	1000.00
18.94	18.66	1000.00
18.95	18.66	998.00
18.55	18.67	426.00
18.56	18.67	790.00
18.57	18.67	999.00
18.58	18.67	993.00
18.59	18.67	986.00
18.60	18.67	992.00
18.61	18.67	997.00
18.62	18.67	975.00
18.63	18.67	871.00
18.64	18.67	640.00
18.65	18.67	463.00
18.66	18.67	437.00
18.67	18.67	617.00
18.68	18.67	708.00
18.69	18.67	926.00
18.70	18.67	986.00
18.71	18.67	997.00
18.72	18.67	979.00
18.73	18.67	954.00
18.74	18.67	940.00
18.75	18.67	942.00
18.76	18.67	957.00
18.77	18.67	958.00
18.78	18.67	979.00
18.79	18.67	990.00
18.80	18.67	990.00
18.81	18.67	998.00
18.82	18.67	999.00
18.83	18.67	999.00
18.84	18.67	1000.00
18.85	18.67	1000.00
18.86	18.67	1000.00
18.87	18.67	1000.00
18.88	18.67	1000.00
18.89	18.67	1000.00
18.90	18.67	1000.00
18.91	18.67	1000.00
18.92	18.67	1000.00
18.93	18.67	1000.00
18.94	18.67	1000.00
18.95	18.67	1000.00
18.55	18.68	413.00
18.56	18.68	804.00
18.57	18.68	1000.00
18.58	18.68	1000.00
18.59	18.68	999.00
18.60	18.68	999.00
18.61	18.68	1000.00
18.62	18.68	999.00
18.63	18.68	995.00
18.64	18.68	950.00
18.65	18.68	799.00
18.66	18.68	604.00
18.67	18.68	574.00
18.68	18.68	772.00
18.69	18.68	886.00
18.70	18.68	984.00
18.71	18.68	1000.00
18.72	18.68	1000.00
18.73	18.68	995.00
18.74	18.68	982.00
18.75	18.68	969.00
18.76	18.68	955.00
18.77	18.68	961.00
18.78	18.68	972.00
18.79	18.68	976.00
18.80	18.68	991.00
18.81	18.68	994.00
18.82	18.68	998.00
18.83	18.68	997.00
18.84	18.68	1000.00
18.85	18.68	1000.00
18.86	18.68	1000.00
18.87	18.68	1000.00
18.88	18.68	1000.00
18.89	18.68	1000.00
18.90	18.68	1000.00
18.91	18.68	1000.00
18.92	18.68	1000.00
18.93	18.68	1000.00
18.94	18.68	1000.00
18.95	18.68	1000.00
18.55	18.69	437.00
18.56	18.69	808.00
18.57	18.69	998.00
18.58	18.69	1000.00
18.59	18.69	1000.00
18.60	18.69	1000.00
18.61	18.69	1000.00
18.62	18.69	1000.00
18.63	18.69	999.00
18.64	18.69	996.00
18.65	18.69	964.00
18.66	18.69	865.00
18.67	18.69	754.00
18.68	18.69	720.00
18.69	18.69	862.00
18.70	18.69	960.00
18.71	18.69	1000.00
18.72	18.69	1000.00
18.73	18.69	1000.00
18.74	18.69	999.00
18.75	18.69	997.00
18.76	18.69	982.00
18.77	18.69	970.00
18.78	18.69	968.00
18.79	18.69	973.00
18.80	18.69	980.00
18.81	18.69	985.00
18.82	18.69	992.00
18.83	18.69	996.00
18.84	18.69	1000.00
18.85	18.69	1000.00
18.86	18.69	998.00
18.87	18.69	1000.00
18.88	18.69	1000.00
18.89	18.69	1000.00
18.90	18.69	1000.00
18.91	18.69	1000.00
18.92	18.69	1000.00
18.93	18.69	1000.00
18.94	18.69	1000.00
18.95	18.69	1000.00
18.55	18.70	434.00
18.56	18.70	793.00
18.57	18.70	999.00
18.58	18.70	1000.00
18.59	18.70	1000.00
18.60	18.70	1000.00
18.61	18.70	1000.00
18.62	18.70	1000.00
18.63	18.70	1000.00
18.64	18.70	999.00
18.65	18.70	997.00
18.66	18.70	963.00
18.67	18.70	892.00
18.68	18.70	829.00
18.69	18.70	805.00
18.70	18.70	922.00
18.71	18.70	981.00
18.72	18.70	1000.00
18.73	18.70	1000.00
18.74	18.70	1000.00
18.75	18.70	1000.00
18.76	18.70	1000.00
18.77	18.70	999.00
18.78	18.70	991.00
18.79	18.70	967.00
18.80	18.70	965.00
18.81	18.70	969.00
18.82	18.70	974.00
18.83	18.70	984.00
18.84	18.70	994.00
18.85	18.70	996.00
18.86	18.70	994.00
18.87	18.70	999.00
18.88	18.70	999.00
18.89	18.70	1000.00
18.90	18.70	1000.00
18.91	18.70	1000.00
18.92	18.70	1000.00
18.93	18.70	1000.00
18.94	18.70	1000.00
18.95	18.70	1000.00
18.55	18.71	445.00
18.56	18.71	786.00
18.57	18.71	1000.00
18.58	18.71	1000.00
18.59	18.71	1000.00
18.60	18.71	1000.00
18.61	18.71	1000.00
18.62	18.71	1000.00
18.63	18.71	1000.00
18.64	18.71	1000.00
18.65	18.71	1000.00
18.66	18.71	996.00
18.67	18.71	966.00
18.68	18.71	900.00
18.69	18.71	862.00
18.70	18.71	853.00
18.71	18.71	946.00
18.72	18.71	982.00
18.73	18.71	1000.00
18.74	18.71	1000.00
18.75	18.71	1000.00
18.76	18.71	1000.00
18.77	18.71	1000.00
18.78	18.71	1000.00
18.79	18.71	1000.00
18.80	18.71	991.00
18.81	18.71	978.00
18.82	18.71	967.00
18.83	18.71	969.00
18.84	18.71	979.00
18.85	18.71	985.00
18.86	18.71	989.00
18.87	18.71	999.00
18.88	18.71	997.00
18.89	18.71	999.00
18.90	18.71	1000.00
18.91	18.71	1000.00
18.92	18.71	1000.00
18.93	18.71	1000.00
18.94	18.71	1000.00
18.95	18.71	1000.00
18.55	18.72	451.00
18.56	18.72	787.00
18.57	18.72	1000.00
18.58	18.72	1000.00
18.59	18.72	1000.00
18.60	18.72	1000.00
18.61	18.72	1000.00
18.62	18.72	1000.00
18.63	18.72	1000.00
18.64	18.72	1000.00
18.65	18.72	1000.00
18.66	18.72	1000.00
18.67	18.72	997.00
18.68	18.72	966.00
18.69	18.72	907.00
18.70	18.72	867.00
18.71	18.72	867.00
18.72	18.72	954.00
18.73	18.72	986.00
18.74	18.72	999.00
18.75	18.72	1000.00
18.76	18.72	1000.00
18.77	18.72	1000.00
18.78	18.72	1000.00
18.79	18.72	1000.00
18.80	18.72	1000.00
18.81	18.72	998.00
18.82	18.72	996.00
18.83	18.72	983.00
18.84	18.72	974.00
18.85	18.72	978.00
18.86	18.72	986.00
18.87	18.72	989.00
18.88	18.72	995.00
18.89	18.72	996.00
18.90	18.72	999.00
18.91	18.72	999.00
18.92	18.72	1000.00
18.93	18.72	1000.00
18.94	18.72	1000.00
18.95	18.72	1000.00
18.55	18.73	469.00
18.56	18.73	786.00
18.57	18.73	1000.00
18.58	18.73	1000.00
18.59	18.73	1000.00
18.60	18.73	1000.00
18.61	18.73	1000.00
18.62	18.73	1000.00
18.63	18.73	1000.00
18.64	18.73	1000.00
18.65	18.73	1000.00
18.66	18.73	1000.00
18.67	18.73	1000.00
18.68	18.73	997.00
18.69	18.73	967.00
18.70	18.73	902.00
18.71	18.73	878.00
18.72	18.73	876.00
18.73	18.73	962.00
18.74	18.73	984.00
18.75	18.73	1000.00
18.76	18.73	1000.00
18.77	18.73	1000.00
18.78	18.73	1000.00
18.79	18.73	1000.00
18.80	18.73	1000.00
18.81	18.73	1000.00
18.82	18.73	1000.00
18.83	18.73	1000.00
18.84	18.73	996.00
18.85	18.73	987.00
18.86	18.73	973.00
18.87	18.73	977.00
18.88	18.73	983.00
18.89	18.73	991.00
18.90	18.73	991.00
18.91	18.73	997.00
18.92	18.73	997.00
18.93	18.73	1000.00
18.94	18.73	1000.00
18.95	18.73	1000.00
18.55	18.74	471.00
18.56	18.74	793.00
18.57	18.74	1000.00
18.58	18.74	1000.00
18.59	18.74	1000.00
18.60	18.74	1000.00
18.61	18.74	1000.00
18.62	18.74	1000.00
18.63	18.74	1000.00
18.64	18.74	1000.00
18.65	18.74	1000.00
18.66	18.74	1000.00
18.67	18.74	1000.00
18.68	18.74	1000.00
